Boroughs,Average Monthly Rent (£),Counts of Rents,Average Yearly Rent (£),Average Price (£),Average Sales Volume ,Gross Yield (%)
City of London,2377,100,28524,"775,502",33,3.68
Barking and Dagenham,1192,810,14304,"303,430",161,4.71
Barnet,1548,"2,810",18576,"565,587",326,3.28
Bexley,1084,820,13008,"342,663",255,3.80
Brent,1578,"2,010",18936,"531,462",166,3.56
Bromley,1318,"2,270",15816,"451,074",387,3.51
Camden,2427,"4,160",29124,"834,124",153,3.49
Croydon,1112,"1,850",13344,"375,427",349,3.55
Ealing,1484,"2,020",17808,"513,639",233,3.47
Enfield,1325,870,15900,"421,192",213,3.77
Greenwich,1380,"1,230",16560,"410,110",291,4.04
Hackney,1834,"1,370",22008,"563,115",167,3.91
Hammersmith and Fulham,2070,"2,180",24840,"751,642",186,3.30
Haringey,1513,"1,550",18156,"592,831",171,3.06
Harrow,1396,"2,080",16752,"476,714",186,3.51
Havering,1131,890,13572,"375,640",252,3.61
Hillingdon,1268,"1,690",15216,"421,291",293,3.61
Hounslow,1410,"1,750",16920,"450,571",192,3.76
Islington,1895,"2,560",22740,"649,958",146,3.50
Kensington and Chelsea,3208,"2,170",38496,"1,475,628",111,2.61
Kingston upon Thames,1396,590,16752,"523,509",175,3.20
Lambeth,1751,"1,920",21012,"547,658",279,3.84
Lewisham,1318,"1,940",15816,"436,704",279,3.62
Merton,1542,"1,460",18504,"548,080",191,3.38
Newham,1422,"1,890",17064,"375,275",265,4.55
Redbridge,1303,"1,610",15636,"415,004",212,3.77
Richmond upon Thames,1896,"1,890",22752,"691,933",219,3.29
Southwark,1676,"2,720",20112,"581,994",301,3.46
Sutton,1130,"1,040",13560,"383,451",223,3.54
Tower Hamlets,1773,"2,790",21276,"490,142",271,4.34
Waltham Forest,1314,"1,580",15768,"455,238",235,3.46
Wandsworth,1828,"3,980",21936,"684,535",395,3.20
Westminster,2832,"3,190",33984,"1,084,205",174,3.13
